"","","","","","perc"
"939","SW00031",7996351,16696459,"SW",0.478924962472582
"940","SW00032",4071273,10064266,"SW",0.404527563162579
"941","SW00033",10398506,15736600,"SW",0.66078479468246
"942","SW00035",7271818,13950684,"SW",0.521251717836917
"943","SW00036",1559354,7032859,"SW",0.221724052764317
"944","SW00038",2974645,16584746,"SW",0.179360298915642
"945","SW00039",13911019,14077439,"SW",0.98817824747811
"946","SW00040",7468089,20309980,"SW",0.367705384249517
"947","SW00041",381416,9732202,"SW",0.0391911306403217
"948","SW00042",1510933,14258503,"SW",0.105967155177511
"949","SW00043",3883796,13510164,"SW",0.28747215799897
"950","SW00044",13217837,14091479,"SW",0.938002107514761
"951","SW00045",11712391,18766708,"SW",0.624104717780018
"952","SW00046",14946667,20134577,"SW",0.74233826715108
"953","SW00047",1629920,12381085,"SW",0.131645974484466
"954","SW00048",10286643,13267507,"SW",0.775325990029627
"955","SW00049",1714729,10307521,"SW",0.166357070725347
"956","SW00050",3187071,13306955,"SW",0.239504154030731
"957","SW00051",8857024,11059691,"SW",0.800838287434974
"958","SW00052",3997321,14725710,"SW",0.271451834920014
"959","SW00053",9980666,10769986,"SW",0.926711139643078
"960","SW00054",22867987,27633767,"SW",0.827537809086977
"961","SW00055",13802404,14493816,"SW",0.952296068888966
"962","SW00056",9946802,13006716,"SW",0.76474353710806
"963","SW00057",1373749,21950970,"SW",0.0625826102445587
"964","SW00059",6551410,14806990,"SW",0.442453868071769
"965","SW00060",4292904,13306524,"SW",0.322616484966322
"966","SW00061",1050968,10508575,"SW",0.100010515222092
"967","SW00062",10700435,18665608,"SW",0.573270101890064
"968","SW00063",19524344,21443578,"SW",0.910498425216165
"969","SW00064",553567,18373922,"SW",0.0301278627393759
"970","SW00065",1316255,7906132,"SW",0.166485330626911
"971","SW00066",11035353,21218307,"SW",0.520086404631623
"972","SW00067",8055752,12170511,"SW",0.661907458117412
"973","SW00068",4282619,12227325,"SW",0.350249870678992
"974","SW00069",3792263,15158736,"SW",0.250170132918734
"975","SW00070",18420475,19019725,"SW",0.968493235312288
"976","SW00071",12360199,20363658,"SW",0.606973413126463
"977","SW00072",10148543,14059236,"SW",0.721841713162792
"978","SW00073",4775550,14982173,"SW",0.318748822350403
"979","SW00074",6937424,12982848,"SW",0.534353017150012
"980","SW00075",3817871,10765067,"SW",0.35465371464943
"981","SW00076",13658893,21789938,"SW",0.62684405068064
"982","SW00077",12978168,14644377,"SW",0.886221926682166
"983","SW00078",1529997,11775934,"SW",0.129925745168069
"984","SW00079",6475772,23797508,"SW",0.27211975304305
"985","SW00080",2690863,11835469,"SW",0.227355840313552
"986","SW00082",11008557,17044374,"SW",0.64587628738961
"987","SW00083",17903496,18854556,"SW",0.949558080285741
"988","SW00085",9219590,15664132,"SW",0.588579692765613
"989","SW00086",17487160,18971370,"SW",0.921765797620309
"990","SW00087",2666769,9380420,"SW",0.284291001895438
"991","SW00088",12769142,22307313,"SW",0.572419546899261
"992","SW00089",20121866,25872515,"SW",0.777731349271611
"993","SW00090",3952112,14321015,"SW",0.275965914427155
"994","SW00091",793666,11038676,"SW",0.0718986588608996
"995","SW00092",1758488,9960148,"SW",0.176552396610974
"996","SW00093",2279384,7659131,"SW",0.297603474858962
"997","SW00094",2026386,3363131,"SW",0.602529607083399
"998","SW00095",10949438,11246706,"SW",0.973568438616605
"999","SW00096",498121,13074832,"SW",0.0380976979283558
"1000","SW00097",12218155,16351798,"SW",0.747205597818662
"1001","SW00098",9599327,9719960,"SW",0.987589146457393
"1002","SW00099",8854162,21936405,"SW",0.403628671151905
"1003","SW00100",807649,13579298,"SW",0.0594764913473436
"1004","SW00101",4105683,12671225,"SW",0.3240162651993
"1005","SW00102",15435967,20573846,"SW",0.750271339641601
"1006","SW00103",7286685,7630999,"SW",0.954879564261508
"1007","SW00105",12279756,14240423,"SW",0.862316800561332
"1008","SW00106",11974575,13120888,"SW",0.912634495470124
"1009","SW00107",8625398,13716288,"SW",0.628843459688219
"1010","SW00110",1418564,11111375,"SW",0.127667727891463
"1011","SW00111",7854891,18793801,"SW",0.417951163790656
"1012","SW00112",8099884,13186348,"SW",0.614262872479931
"1013","SW00113",2504312,11209156,"SW",0.223416642608953
"1014","SW00114",386358,8809623,"SW",0.0438563602551437
"1015","SW00115",3193920,9329505,"SW",0.342346137335261
"1016","SW00116",10803664,20280118,"SW",0.532721949645461
"1017","SW00117",3057623,14523162,"SW",0.210534248671192
"1018","SW00118",12320302,15039749,"SW",0.819182687157877
"1019","SW00119",1038161,10172066,"SW",0.102059994498659
